run_number,timestamp,operation,project_uuid,time_seconds
3,2025-11-03T15:27:18.946917,get_many_annotation_projects,N/A,0.029661178588867188
3,2025-11-03T15:27:18.946917,get_annotation_tasks,89,0.03333783149719238
3,2025-11-03T15:27:18.946917,get_annotation_tasks,86,0.06566905975341797
3,2025-11-03T15:27:18.946917,get_annotation_tasks,84,0.22849392890930176
3,2025-11-03T15:27:18.946917,get_annotation_tasks,78,0.9393601417541504
3,2025-11-03T15:27:18.946917,get_annotation_tasks,76,0.06011223793029785
3,2025-11-03T15:27:18.946917,get_annotation_tasks,74,0.04343390464782715
3,2025-11-03T15:27:18.946917,get_annotation_tasks,72,0.0839080810546875
3,2025-11-03T15:27:18.946917,get_annotation_tasks,69,0.18689203262329102
3,2025-11-03T15:27:18.946917,total_time,N/A,1.6710398197174072
4,2025-11-03T15:27:21.850423,get_many_annotation_projects,N/A,0.027061939239501953
4,2025-11-03T15:27:21.850423,get_annotation_tasks,89,0.03197813034057617
4,2025-11-03T15:27:21.850423,get_annotation_tasks,86,0.06207418441772461
4,2025-11-03T15:27:21.850423,get_annotation_tasks,84,0.23901104927062988
4,2025-11-03T15:27:21.850423,get_annotation_tasks,78,1.0273280143737793
4,2025-11-03T15:27:21.850423,get_annotation_tasks,76,0.06565403938293457
4,2025-11-03T15:27:21.850423,get_annotation_tasks,74,0.051841020584106445
4,2025-11-03T15:27:21.850423,get_annotation_tasks,72,0.08747076988220215
4,2025-11-03T15:27:21.850423,get_annotation_tasks,69,0.18371033668518066
4,2025-11-03T15:27:21.850423,total_time,N/A,1.7762749195098877
5,2025-11-03T15:27:24.853903,get_many_annotation_projects,N/A,0.030046939849853516
5,2025-11-03T15:27:24.853903,get_annotation_tasks,89,0.03302717208862305
5,2025-11-03T15:27:24.853903,get_annotation_tasks,86,0.06181812286376953
5,2025-11-03T15:27:24.853903,get_annotation_tasks,84,0.22366905212402344
5,2025-11-03T15:27:24.853903,get_annotation_tasks,78,1.2549262046813965
5,2025-11-03T15:27:24.853903,get_annotation_tasks,76,0.059602975845336914
5,2025-11-03T15:27:24.853903,get_annotation_tasks,74,0.047798871994018555
5,2025-11-03T15:27:24.853903,get_annotation_tasks,72,0.08514404296875
5,2025-11-03T15:27:24.853903,get_annotation_tasks,69,0.17962980270385742
5,2025-11-03T15:27:24.853903,total_time,N/A,1.9758210182189941
6,2025-11-03T15:27:28.047365,get_many_annotation_projects,N/A,0.028316020965576172
6,2025-11-03T15:27:28.047365,get_annotation_tasks,89,0.03645515441894531
6,2025-11-03T15:27:28.047365,get_annotation_tasks,86,0.0671379566192627
6,2025-11-03T15:27:28.047365,get_annotation_tasks,84,0.23276615142822266
6,2025-11-03T15:27:28.047365,get_annotation_tasks,78,0.8898169994354248
6,2025-11-03T15:27:28.047365,get_annotation_tasks,76,0.061952829360961914
6,2025-11-03T15:27:28.047365,get_annotation_tasks,74,0.04731106758117676
6,2025-11-03T15:27:28.047365,get_annotation_tasks,72,0.08891081809997559
6,2025-11-03T15:27:28.047365,get_annotation_tasks,69,0.19615793228149414
6,2025-11-03T15:27:28.047365,total_time,N/A,1.6489920616149902
7,2025-11-03T15:27:30.907656,get_many_annotation_projects,N/A,0.0257568359375
7,2025-11-03T15:27:30.907656,get_annotation_tasks,89,0.03564119338989258
7,2025-11-03T15:27:30.907656,get_annotation_tasks,86,0.05832195281982422
7,2025-11-03T15:27:30.907656,get_annotation_tasks,84,0.26644301414489746
7,2025-11-03T15:27:30.907656,get_annotation_tasks,78,1.115523099899292
7,2025-11-03T15:27:30.907656,get_annotation_tasks,76,0.05983996391296387
7,2025-11-03T15:27:30.907656,get_annotation_tasks,74,0.04771828651428223
7,2025-11-03T15:27:30.907656,get_annotation_tasks,72,0.09320592880249023
7,2025-11-03T15:27:30.907656,get_annotation_tasks,69,0.1776740550994873
7,2025-11-03T15:27:30.907656,total_time,N/A,1.880262851715088
8,2025-11-03T15:27:34.012281,get_many_annotation_projects,N/A,0.036100149154663086
8,2025-11-03T15:27:34.012281,get_annotation_tasks,89,0.03457188606262207
8,2025-11-03T15:27:34.012281,get_annotation_tasks,86,0.06420683860778809
8,2025-11-03T15:27:34.012281,get_annotation_tasks,84,0.23241424560546875
8,2025-11-03T15:27:34.012281,get_annotation_tasks,78,0.8416430950164795
8,2025-11-03T15:27:34.012281,get_annotation_tasks,76,0.060266971588134766
8,2025-11-03T15:27:34.012281,get_annotation_tasks,74,0.04379701614379883
8,2025-11-03T15:27:34.012281,get_annotation_tasks,72,0.08092212677001953
8,2025-11-03T15:27:34.012281,get_annotation_tasks,69,0.1902449131011963
8,2025-11-03T15:27:34.012281,total_time,N/A,1.5843262672424316
9,2025-11-03T15:27:36.865596,get_many_annotation_projects,N/A,0.03482794761657715
9,2025-11-03T15:27:36.865596,get_annotation_tasks,89,0.040155887603759766
9,2025-11-03T15:27:36.865596,get_annotation_tasks,86,0.051310062408447266
9,2025-11-03T15:27:36.865596,get_annotation_tasks,84,0.24464201927185059
9,2025-11-03T15:27:36.865596,get_annotation_tasks,78,0.9268088340759277
9,2025-11-03T15:27:36.865596,get_annotation_tasks,76,0.057440996170043945
9,2025-11-03T15:27:36.865596,get_annotation_tasks,74,0.04451799392700195
9,2025-11-03T15:27:36.865596,get_annotation_tasks,72,0.08588790893554688
9,2025-11-03T15:27:36.865596,get_annotation_tasks,69,0.19542980194091797
9,2025-11-03T15:27:36.865596,total_time,N/A,1.681199073791504
